Species,Diet
Irenomys tarsalis,Herbivore
Isthmomys flavidus,Omnivore
Isthmomys pirrensis,Omnivore
Juliomys pictipes,Herbivore
Juliomys rimofrons,Herbivore
Juscelinomys candango,Omnivore
Juscelinomys guaporensis,Omnivore
Juscelinomys huanchacae,Omnivore
Kunsia fronto,Omnivore
Kunsia tomentosus,Herbivore
Lagurus lagurus,Herbivore
Lasiopodomys brandtii,Herbivore
Lasiopodomys fuscus,Herbivore
Lasiopodomys mandarinus,Herbivore
Lemmiscus curtatus,Herbivore
Lemmus amurensis,Herbivore
Lemmus lemmus,Herbivore
Lemmus portenkoi,Herbivore
Lemmus sibiricus,Herbivore
